arm,rep,exec_1_committed_13.08,exec_2_full_rerun_13.08,exec_3_band_14.08,exec_4_band_14.08,exec_5_band_14.08,min,max,range
MLP mse alpha=0,X_pca,0.2541,0.2473,0.2459,0.249,0.245,0.245,0.2541,0.0091
MLP mae alpha=0,X_pca,0.2617,0.2617,0.2617,0.2617,0.2617,0.2617,0.2617,0.0
MLP mae alpha=0,X_scGPT,0.2403,0.2403,0.2403,0.2403,0.2403,0.2403,0.2403,0.0
MLP mae alpha=0.5,X_pca,0.2824,0.2824,0.2824,0.2824,0.2824,0.2824,0.2824,0.0
MLP mae alpha=0.5,X_scGPT,0.2395,0.2395,0.2395,0.2395,0.2395,0.2395,0.2395,0.0
MLP mae alpha=1,X_pca,0.2765,0.2765,0.2765,0.2765,0.2765,0.2765,0.2765,0.0
MLP mae alpha=1,X_scGPT,0.2214,0.2214,0.2214,0.2214,0.2214,0.2214,0.2214,0.0
MLP mse alpha=0,X_scGPT,0.2009,0.2009,0.2009,0.2009,0.2009,0.2009,0.2009,0.0
MLP mse alpha=0.5,X_pca,0.2754,0.2754,0.2754,0.2754,0.2754,0.2754,0.2754,0.0
MLP mse alpha=0.5,X_scGPT,0.1927,0.1927,0.1927,0.1927,0.1927,0.1927,0.1927,0.0
MLP mse alpha=1,X_pca,0.2679,0.2679,0.2679,0.2679,0.2679,0.2679,0.2679,0.0
MLP mse alpha=1,X_scGPT,0.2031,0.2031,0.2031,0.2031,0.2031,0.2031,0.2031,0.0
