fold,rep,n_train_lines,n_fit_lines,n_label_lines,n_stop_lines,n_val_lines,val_lines,best_epoch,best_val_obj,arch,heads,model,alpha,loss,seed
1,X_pca,124,105,105,19,29,"['BT549_BREAST', 'CAS1_CENTRAL_NERVOUS_SYSTEM', 'HEC6_ENDOMETRIUM', 'HT55_LARGE_INTESTINE', 'KMRC3_KIDNEY', 'MCF7_BREAST', 'MDAMB361_BREAST', 'MKN45_STOMACH', 'MSTO211H_PLEURA', 'NCIH2110_LUNG', 'NCIH226_LUNG', 'NCIH358_LUNG', 'OVCAR4_OVARY', 'PC3_PROSTATE', 'PECAPJ49_UPPER_AERODIGESTIVE_TRACT', 'RD_SOFT_TISSUE', 'SKMEL2_SKIN', 'SKMEL30_SKIN', 'SNU1079_BILIARY_TRACT', 'SNU1214_UPPER_AERODIGESTIVE_TRACT', 'SNU308_BILIARY_TRACT', 'SNU738_CENTRAL_NERVOUS_SYSTEM', 'SU8686_PANCREAS', 'SW1271_LUNG', 'T47D_BREAST', 'TE14_OESOPHAGUS', 'UACC257_SKIN', 'UMUC1_URINARY_TRACT', 'ZR751_BREAST']",31,0.010039733388487005,linear,534,mlp,0.0,mse,42
2,X_pca,122,103,103,19,31,"['ACCMESO1_PLEURA', 'COLO792_SKIN', 'DETROIT562_UPPER_AERODIGESTIVE_TRACT', 'EKVX_LUNG', 'GOS3_CENTRAL_NERVOUS_SYSTEM', 'HEP3B217_LIVER', 'HMC18_BREAST', 'HUH28_BILIARY_TRACT', 'IGR37_SKIN', 'KALS1_CENTRAL_NERVOUS_SYSTEM', 'KYSE520_OESOPHAGUS', 'LMSU_STOMACH', 'LNCAPCLONEFGC_PROSTATE', 'MFE319_ENDOMETRIUM', 'NCIH1299_LUNG', 'NCIH1944_LUNG', 'NCIH522_LUNG', 'ONCODG1_OVARY', 'OVSAHO_OVARY', 'OVTOKO_OVARY', 'PATU8988S_PANCREAS', 'SCC25_UPPER_AERODIGESTIVE_TRACT', 'SCC9_UPPER_AERODIGESTIVE_TRACT', 'SKES1_BONE', 'SKNAS_AUTONOMIC_GANGLIA', 'SNU899_UPPER_AERODIGESTIVE_TRACT', 'TE6_OESOPHAGUS', 'TE9_OESOPHAGUS', 'TM31_CENTRAL_NERVOUS_SYSTEM', 'TOV112D_OVARY', 'VMRCRCZ_KIDNEY']",39,0.01084576349706373,linear,534,mlp,0.0,mse,42
3,X_pca,122,103,103,19,31,"['A375_SKIN', 'BHY_UPPER_AERODIGESTIVE_TRACT', 'BICR31_UPPER_AERODIGESTIVE_TRACT', 'BICR56_UPPER_AERODIGESTIVE_TRACT', 'CALU6_LUNG', 'CAMA1_BREAST', 'COLO741_SKIN', 'EBC1_LUNG', 'FTC133_THYROID', 'HCC56_LARGE_INTESTINE', 'HDQP1_BREAST', 'HEC251_ENDOMETRIUM', 'HS852T_SKIN', 'JHH6_LIVER', 'KPL1_BREAST', 'LS180_LARGE_INTESTINE', 'NCIH1373_LUNG', 'NCIH1435_LUNG', 'NCIH2228_LUNG', 'NCIH2444_LUNG', 'NCIH2452_PLEURA', 'NCIH292_LUNG', 'NCIH446_LUNG', 'NCIH460_LUNG', 'OSRC2_KIDNEY', 'PANC0203_PANCREAS', 'RCM1_LARGE_INTESTINE', 'SNU449_LIVER', 'SQ1_LUNG', 'SW579_THYROID', 'TCCSUP_URINARY_TRACT']",33,0.009734890674093688,linear,534,mlp,0.0,mse,42
4,X_pca,122,103,103,19,31,"['42MGBA_CENTRAL_NERVOUS_SYSTEM', '8305C_THYROID', 'A204_SOFT_TISSUE', 'ASPC1_PANCREAS', 'BCPAP_THYROID', 'BT474_BREAST', 'CAKI2_KIDNEY', 'COV434_OVARY', 'EFE184_ENDOMETRIUM', 'HEC151_ENDOMETRIUM', 'HOS_BONE', 'HT1197_URINARY_TRACT', 'HUH6_LIVER', 'IALM_LUNG', 'IM95_STOMACH', 'KNS42_CENTRAL_NERVOUS_SYSTEM', 'LI7_LIVER', 'LS1034_LARGE_INTESTINE', 'NCIH1792_LUNG', 'NCIH2126_LUNG', 'NCIH2170_LUNG', 'PK45H_PANCREAS', 'RVH421_SKIN', 'SKMEL5_SKIN', 'SNU423_LIVER', 'SNU46_UPPER_AERODIGESTIVE_TRACT', 'SW1088_CENTRAL_NERVOUS_SYSTEM', 'TE10_OESOPHAGUS', 'TE1_OESOPHAGUS', 'VMCUB1_URINARY_TRACT', 'YD38_UPPER_AERODIGESTIVE_TRACT']",5,0.011768030982934675,linear,534,mlp,0.0,mse,42
5,X_pca,122,103,103,19,31,"['A2058_SKIN', 'BFTC909_KIDNEY', 'BICR16_UPPER_AERODIGESTIVE_TRACT', 'BICR6_UPPER_AERODIGESTIVE_TRACT', 'CCFSTTG1_CENTRAL_NERVOUS_SYSTEM', 'DKMG_CENTRAL_NERVOUS_SYSTEM', 'EFM192A_BREAST', 'HCC1428_BREAST', 'HCC366_LUNG', 'HCC38_BREAST', 'HT1080_SOFT_TISSUE', 'HUPT3_PANCREAS', 'HUPT4_PANCREAS', 'IGR1_SKIN', 'JHOC5_OVARY', 'KPNSI9S_AUTONOMIC_GANGLIA', 'MKN7_STOMACH', 'NCIH2087_LUNG', 'NCIH650_LUNG', 'NCIH747_LARGE_INTESTINE', 'OAW28_OVARY', 'OUMS23_LARGE_INTESTINE', 'OVK18_OVARY', 'PK59_PANCREAS', 'RCC10RGB_KIDNEY', 'RERFLCAD1_LUNG', 'RERFLCAI_LUNG', 'RT4_URINARY_TRACT', 'SH10TC_STOMACH', 'SNUC4_LARGE_INTESTINE', 'SW1990_PANCREAS']",30,0.013728475887606178,linear,534,mlp,0.0,mse,42
1,X_pca,124,105,105,19,29,"['BT549_BREAST', 'CAS1_CENTRAL_NERVOUS_SYSTEM', 'HEC6_ENDOMETRIUM', 'HT55_LARGE_INTESTINE', 'KMRC3_KIDNEY', 'MCF7_BREAST', 'MDAMB361_BREAST', 'MKN45_STOMACH', 'MSTO211H_PLEURA', 'NCIH2110_LUNG', 'NCIH226_LUNG', 'NCIH358_LUNG', 'OVCAR4_OVARY', 'PC3_PROSTATE', 'PECAPJ49_UPPER_AERODIGESTIVE_TRACT', 'RD_SOFT_TISSUE', 'SKMEL2_SKIN', 'SKMEL30_SKIN', 'SNU1079_BILIARY_TRACT', 'SNU1214_UPPER_AERODIGESTIVE_TRACT', 'SNU308_BILIARY_TRACT', 'SNU738_CENTRAL_NERVOUS_SYSTEM', 'SU8686_PANCREAS', 'SW1271_LUNG', 'T47D_BREAST', 'TE14_OESOPHAGUS', 'UACC257_SKIN', 'UMUC1_URINARY_TRACT', 'ZR751_BREAST']",22,0.010053702358286223,linear,534,mlp,0.0,mse,43
2,X_pca,122,103,103,19,31,"['ACCMESO1_PLEURA', 'COLO792_SKIN', 'DETROIT562_UPPER_AERODIGESTIVE_TRACT', 'EKVX_LUNG', 'GOS3_CENTRAL_NERVOUS_SYSTEM', 'HEP3B217_LIVER', 'HMC18_BREAST', 'HUH28_BILIARY_TRACT', 'IGR37_SKIN', 'KALS1_CENTRAL_NERVOUS_SYSTEM', 'KYSE520_OESOPHAGUS', 'LMSU_STOMACH', 'LNCAPCLONEFGC_PROSTATE', 'MFE319_ENDOMETRIUM', 'NCIH1299_LUNG', 'NCIH1944_LUNG', 'NCIH522_LUNG', 'ONCODG1_OVARY', 'OVSAHO_OVARY', 'OVTOKO_OVARY', 'PATU8988S_PANCREAS', 'SCC25_UPPER_AERODIGESTIVE_TRACT', 'SCC9_UPPER_AERODIGESTIVE_TRACT', 'SKES1_BONE', 'SKNAS_AUTONOMIC_GANGLIA', 'SNU899_UPPER_AERODIGESTIVE_TRACT', 'TE6_OESOPHAGUS', 'TE9_OESOPHAGUS', 'TM31_CENTRAL_NERVOUS_SYSTEM', 'TOV112D_OVARY', 'VMRCRCZ_KIDNEY']",2,0.011071185189741322,linear,534,mlp,0.0,mse,43
3,X_pca,122,103,103,19,31,"['A375_SKIN', 'BHY_UPPER_AERODIGESTIVE_TRACT', 'BICR31_UPPER_AERODIGESTIVE_TRACT', 'BICR56_UPPER_AERODIGESTIVE_TRACT', 'CALU6_LUNG', 'CAMA1_BREAST', 'COLO741_SKIN', 'EBC1_LUNG', 'FTC133_THYROID', 'HCC56_LARGE_INTESTINE', 'HDQP1_BREAST', 'HEC251_ENDOMETRIUM', 'HS852T_SKIN', 'JHH6_LIVER', 'KPL1_BREAST', 'LS180_LARGE_INTESTINE', 'NCIH1373_LUNG', 'NCIH1435_LUNG', 'NCIH2228_LUNG', 'NCIH2444_LUNG', 'NCIH2452_PLEURA', 'NCIH292_LUNG', 'NCIH446_LUNG', 'NCIH460_LUNG', 'OSRC2_KIDNEY', 'PANC0203_PANCREAS', 'RCM1_LARGE_INTESTINE', 'SNU449_LIVER', 'SQ1_LUNG', 'SW579_THYROID', 'TCCSUP_URINARY_TRACT']",23,0.009740979853085195,linear,534,mlp,0.0,mse,43
4,X_pca,122,103,103,19,31,"['42MGBA_CENTRAL_NERVOUS_SYSTEM', '8305C_THYROID', 'A204_SOFT_TISSUE', 'ASPC1_PANCREAS', 'BCPAP_THYROID', 'BT474_BREAST', 'CAKI2_KIDNEY', 'COV434_OVARY', 'EFE184_ENDOMETRIUM', 'HEC151_ENDOMETRIUM', 'HOS_BONE', 'HT1197_URINARY_TRACT', 'HUH6_LIVER', 'IALM_LUNG', 'IM95_STOMACH', 'KNS42_CENTRAL_NERVOUS_SYSTEM', 'LI7_LIVER', 'LS1034_LARGE_INTESTINE', 'NCIH1792_LUNG', 'NCIH2126_LUNG', 'NCIH2170_LUNG', 'PK45H_PANCREAS', 'RVH421_SKIN', 'SKMEL5_SKIN', 'SNU423_LIVER', 'SNU46_UPPER_AERODIGESTIVE_TRACT', 'SW1088_CENTRAL_NERVOUS_SYSTEM', 'TE10_OESOPHAGUS', 'TE1_OESOPHAGUS', 'VMCUB1_URINARY_TRACT', 'YD38_UPPER_AERODIGESTIVE_TRACT']",23,0.011584992433447872,linear,534,mlp,0.0,mse,43
5,X_pca,122,103,103,19,31,"['A2058_SKIN', 'BFTC909_KIDNEY', 'BICR16_UPPER_AERODIGESTIVE_TRACT', 'BICR6_UPPER_AERODIGESTIVE_TRACT', 'CCFSTTG1_CENTRAL_NERVOUS_SYSTEM', 'DKMG_CENTRAL_NERVOUS_SYSTEM', 'EFM192A_BREAST', 'HCC1428_BREAST', 'HCC366_LUNG', 'HCC38_BREAST', 'HT1080_SOFT_TISSUE', 'HUPT3_PANCREAS', 'HUPT4_PANCREAS', 'IGR1_SKIN', 'JHOC5_OVARY', 'KPNSI9S_AUTONOMIC_GANGLIA', 'MKN7_STOMACH', 'NCIH2087_LUNG', 'NCIH650_LUNG', 'NCIH747_LARGE_INTESTINE', 'OAW28_OVARY', 'OUMS23_LARGE_INTESTINE', 'OVK18_OVARY', 'PK59_PANCREAS', 'RCC10RGB_KIDNEY', 'RERFLCAD1_LUNG', 'RERFLCAI_LUNG', 'RT4_URINARY_TRACT', 'SH10TC_STOMACH', 'SNUC4_LARGE_INTESTINE', 'SW1990_PANCREAS']",18,0.013634118168383304,linear,534,mlp,0.0,mse,43
